zip3,Area_sqmi,total_pop,Under5,Older75,total_prod,Total_pig,Total_bird,PerUnder5,PerOlder75,pop_density,PerProducer
500,3542.60110522,224717,14936,12778,8606,639517,38555,6.646582145543061,5.686263166560607,63.432769686906305,3.8297058077493027
501,3868.22030484,176519,11763,13740,9133,603193,139697,6.663871877814853,7.7838646264708045,45.63312998981357,5.173947280462726
502,3699.75973771,214162,14934,14196,9504,546874,42962,6.973225875738927,6.628626927279349,57.88538045245001,4.437762067967239
503,155.617713715,284867,21622,15423,1488,400,0,7.590208764089909,5.414105529949064,1830.5563884694293,0.5223490260367118
504,3456.59019129,105140,6191,10679,7996,902253,166865,5.888339357047745,10.156933612326421,30.417259258830953,7.605097964618604
505,4632.77849173,123960,7615,13048,9038,1705915,273548,6.143110680864796,10.52597612132946,26.757161004196885,7.2910616327847695
506,4095.03982483,170495,10384,14942,11463,1001065,13139,6.0905011877181146,8.763893369307016,41.634515729545534,6.723364321534356
507,197.052429951,78666,5703,5563,560,21052,430,7.2496377087941415,7.071670098899144,399.21354950843016,0.7118704395799964
508,2260.38182337,33811,2130,3715,4128,197546,62062,6.2997249415870575,10.987548430983999,14.958092323354126,12.209044393836326
510,3889.75030273,87882,5741,8408,7777,1092166,50325,6.532623290321113,9.567374433900003,22.593224027341936,8.849366195580437
511,128.230244872,85884,6840,5306,387,460,0,7.964230822970518,6.178100693959294,669.7639865363261,0.45060779656280564
512,1422.82225155,44522,3407,4132,4661,949001,101276,7.652396567988859,9.28080499528323,31.291329575074077,10.46898162706078
513,1517.21056558,47302,2810,5049,3118,423131,113733,5.940552196524459,10.67396727411103,31.176951356067946,6.5916874550758955
514,1936.41436548,47893,3297,4953,4387,589946,8878,6.884095796880546,10.341803603866953,24.73282622447817,9.160002505585368
515,3373.21812745,148777,9666,11476,6312,132431,28705,6.496971978195555,7.713557875209205,44.10536003862539,4.242591260745949
516,1104.22901659,24140,1426,2530,1789,41503,0,5.907207953603977,10.480530240265121,21.86140704266892,7.4109362054681025
520,2346.82530786,141601,8843,11702,8025,241176,1439,6.245012393980268,8.26406593173777,60.33725626093649,5.667332857818801
521,2325.44342436,59566,3522,5619,5451,376123,35412,5.912769029312023,9.433233723936475,25.614899668605585,9.151193633952255
522,2222.73737711,167983,9764,9076,6685,326606,2076,5.812492930832287,5.402927677205431,75.57483026555808,3.979569361185358
523,2720.50652426,155051,10877,10082,8263,413947,2282,7.015111156974157,6.50237663736448,56.99343067819885,5.3292142585342885
524,129.531081115,134152,8779,8898,652,302,0,6.5440694137992725,6.632774762955454,1035.6742091953781,0.4860158626036138
525,3337.63977257,112320,7091,9870,7680,383330,9000,6.313212250712251,8.787393162393162,33.65252323605702,6.837606837606838
526,1878.12033468,105807,6481,8935,4685,234896,7983,6.125303618853195,8.44462086629429,56.33664576558015,4.427873392119614
527,1886.04401503,169212,10920,11790,4754,318795,3160,6.4534430182256575,6.967590950996383,89.7179486011669,2.809493416542562
528,111.805979335,102516,7420,6367,292,6236,0,7.237894572554528,6.210737836045105,916.9098165388383,0.2848335869522806
560,21.7760890909,969,57,83,0,1440,0,5.88235294117647,8.565531475748193,44.49834843874399,0
